,text,label
13083,where did you grow up,how_old_are_you
13087,i will say yes as my response,yes
13089,what name would you like me to call you,what_is_your_name
13109,tell me your hobbies,what_are_your_hobbies
13126,what are your favorite activities,what_are_your_hobbies
13156,what do you do as a hobby,what_are_your_hobbies
13166,adios!,goodbye
13227,how old are you exactly at the moment,how_old_are_you
13230,farewell!,goodbye
13242,"no idea, sorry",maybe
13255,your age please,how_old_are_you
13282,i believe that to be false,no
13296,well hello,greeting
13309,what are your hobbies in life,what_are_your_hobbies
13335,no that isn't correct,no
13357,who knows,maybe
13392,what's your designation,what_is_your_name
13419,when's your birthday,how_old_are_you
13422,"have a good day, bye",goodbye
13430,i have to say goodbye,goodbye
13438,what name do you like to go by,what_is_your_name
13446,what's going on,greeting
13473,nada,no
13486,are you real or an ai,are_you_a_bot
13503,is there a way to tell if you are real or an ai,are_you_a_bot
13504,goodnight,goodbye
13536,no that is not right,no
13547,how do i know if you are a real person,are_you_a_bot
13559,how many years on the earth,how_old_are_you
13608,what do you enjoy doing while not working,what_are_your_hobbies
13636,i don't have an answer for that,maybe
13667,tell me how old you are,how_old_are_you
13694,hello there,greeting
13703,good bye my friend,goodbye
13712,what do you answer to,what_is_your_name
13728,i can't make up my mind,maybe
13751,please tell me your age,how_old_are_you
13783,i'd love to hear when you were born,how_old_are_you
13788,you're right,yes
13796,what do you do in your free time,what_are_your_hobbies
13800,that is right,yes
13814,can you tell me how old the ai is,how_old_are_you
13832,that isn't right,no
13833,what's your date of birth,how_old_are_you
13841,"hi there, how are you doing",greeting
13865,what kind of activities do you enjoy,what_are_your_hobbies
13913,could you tell me when you were born,how_old_are_you
13934,not really,no
13943,how are things for you,greeting
13947,really dont know,maybe
13970,that's a possibility,maybe
13985,i am needing to know when you were born,how_old_are_you
13996,what's your age again,how_old_are_you
14011,my answer to your question is yes,yes
14028,i'd like to know how you are doing,greeting
14047,goodbye!,goodbye
14048,what should i use when i refer to you,what_is_your_name
14066,how old are you siri,how_old_are_you
14068,are you a human or a bot,are_you_a_bot
14078,i'll talk to you later ai,goodbye
14080,are you well,greeting
14106,how you are,greeting
14117,are you human or a bot,are_you_a_bot
14140,i don't know the anwser,maybe
14148,"hey, how do i call your attention",what_is_your_name
14199,might you have any hobbies,what_are_your_hobbies
14200,catch you later,goodbye
14236,so how is everything,greeting
14247,what are you feeling today,greeting
14255,i want to know the name that was given by the person who made you,what_is_your_name
14311,what recreational activities do you enjoy,what_are_your_hobbies
14312,im not certain,maybe
14318,are you real or not,are_you_a_bot
14331,are you an ai or a real person,are_you_a_bot
14367,when was your birth,how_old_are_you
14402,yes you are,yes
14431,would you say that you are human or copmuter,are_you_a_bot
14438,i do not believe that that is correct,no
14449,do you identify as a human or computer,are_you_a_bot
14466,provide the name i should use to refer to you,what_is_your_name
14496,are you doing well,greeting
14497,i wanna know your name,what_is_your_name
14535,are you a real person or artificial intelligence,are_you_a_bot
14543,what are the ai's hobbies,what_are_your_hobbies
14546,i must say goodbye,goodbye
14554,bye!,goodbye
14581,"not sure, maybe",maybe
14589,what name should i call you,what_is_your_name
14608,it may be either one,maybe
14609,"no, that is not right",no
14615,how are you today,greeting
14661,i'm not sure of that,maybe
14673,that is not factual,no
14677,i think that's false,no
14747,later gator!,goodbye
14760,how are you doing,greeting
14780,should i call you something in particular,what_is_your_name
14784,how old did you just turn,how_old_are_you
14820,how old are you now,how_old_are_you
14821,what's the name you were given,what_is_your_name
14824,"what age were you on your last birthday, ai",how_old_are_you
14862,that is untrue,no
14875,"ai, what should i call you",what_is_your_name
14887,the statement is false,no
14898,do you consider yourself a bot,are_you_a_bot
14912,it was really awesome to talk to you,goodbye
14913,are you really an actual human being,are_you_a_bot
14914,are you a real human being,are_you_a_bot
14935,how can i get your attention,what_is_your_name
14938,can you tell me what hobbies the ai has,what_are_your_hobbies
14944,it was good to talk to you today,goodbye
14980,can you tell me if you're human or if you're a computer,are_you_a_bot
14990,how old would you be,how_old_are_you
15087,can you specify if you are a human or a computer,are_you_a_bot
15147,do you have hobbies,what_are_your_hobbies
15148,how do you describe yourself: as a computer or a human,are_you_a_bot
15159,can you tell me about your hobbies,what_are_your_hobbies
15160,i am really not sure,maybe
15237,what hobbies do you like to do,what_are_your_hobbies
15249,have a good day,goodbye
15314,tell me if you are a real person or an ai,are_you_a_bot
15330,how many years have you been on,how_old_are_you
15349,that might be the case,maybe
15391,i think maybe,maybe
15433,what is al's age,how_old_are_you
15457,can i have your name please,what_is_your_name
15460,no that isn't it,no
15467,that will be true,yes
15482,that's totally wrong!,no
15514,who are you known as,what_is_your_name
15524,"nice talking again, bye",goodbye
15532,i think you are a bot,are_you_a_bot
15542,the answer to that is affirmative,yes
15558,affirmative,yes
15587,what hobbies do you do,what_are_your_hobbies
15603,whats your age range,how_old_are_you
15642,i am not to sure about that,maybe
15729,catch you around,goodbye
15737,what did they name you,what_is_your_name
15742,are you real or fake,are_you_a_bot
15760,does the ai have hobbies,what_are_your_hobbies
15761,not sure if that's a yes or a no,maybe
15802,is everything ok today,greeting
15815,your name please,what_is_your_name
15820,that is a completely false statement,no
15821,"no, that's wrong",no
15845,peace out,goodbye
15853,you are correct,yes
15860,are you real or automated,are_you_a_bot
15888,"hmmm, either could be a choice",maybe
15892,10-4,yes
15896,how many years has al been on earth,how_old_are_you
15914,take it easy!,goodbye
15919,true,yes
15938,how old are you ai,how_old_are_you
15946,hi there alexa,greeting
15950,are you young or old,how_old_are_you
15962,i haven't a clue,maybe
15991,am i talking to a person or a bot,are_you_a_bot
16007,whats up with you,greeting
16039,it was a pleasure talking to you,goodbye
16056,let's talk about your hobbies,what_are_your_hobbies
16069,what are your hobbies,what_are_your_hobbies
16115,how would you like me to call you,what_is_your_name
16120,i would like to know your name,what_is_your_name
16135,i need to know if you are a real person or an ai,are_you_a_bot
16169,what you just said is true,yes
16202,yes that is correct,yes
16241,are things going well for you,greeting
16249,would you be classified as a bot,are_you_a_bot
16266,no clue,maybe
16275,what is the name i should use to refer to you,what_is_your_name
16280,what's your name,what_is_your_name
16304,heyo,greeting
16319,do you have a name i should call you by,what_is_your_name
16324,i have to say affirmative on that one,yes
16373,are you older than me,how_old_are_you
16387,"ai, how long have you been working",how_old_are_you
16395,i do not know,maybe
16432,"yes, that is true",yes
16456,ok good chatting goodbye,goodbye
16460,am i talking to a real live person,are_you_a_bot
16477,can you me what they call you,what_is_your_name
16515,are you a real person or an ai,are_you_a_bot
16533,what is your birth date,how_old_are_you
16570,what was your name again,what_is_your_name
16586,hey how's it hanging,greeting
16641,do you have a name,what_is_your_name
16642,idk,maybe
16666,what do you like to do for fun,what_are_your_hobbies
16678,what do you do in your spare time siri,what_are_your_hobbies
16715,what are some things that you enjoy,what_are_your_hobbies
16732,are you a real person or automated,are_you_a_bot
16737,"what do i call you, ai",what_is_your_name
16740,it was nice to catch up with you,goodbye
16746,are you real or are you an ai,are_you_a_bot
16752,would you tell me if you are a human or are a computer,are_you_a_bot
16783,state your name,what_is_your_name
16799,hello there!,greeting
16800,how goes it,greeting
16805,what do you like to do during your leisure time,what_are_your_hobbies
16814,"wake up, ai",greeting
16829,"it could be either, i think",maybe
16857,tell me if you are a human or a computer,are_you_a_bot
16864,what is your preferred name,what_is_your_name
16898,you must tell me your name,what_is_your_name
16917,"enjoy your day, goodbye",goodbye
16927,"what birthday are you celebrating this year, ai",how_old_are_you
16928,how have you been,greeting
16934,i'll pass,no
16970,"hello, ai",greeting
16974,what do you like to do in your spare time,what_are_your_hobbies
16981,i haven't the foggiest,maybe
16989,yeah,yes
16999,until next time,goodbye
17017,how do you feel,greeting
17034,"clear something up, are you a robot",are_you_a_bot
17117,"that's not right, so no",no
17154,i'm not sure which one because it could be either of them,maybe
17167,it is a true,yes
17201,"yes, ai, that is correct",yes
17203,what are your favorite hobbies,what_are_your_hobbies
17211,are an an ai,are_you_a_bot
17232,are you a human or an ai,are_you_a_bot
17242,are you real,are_you_a_bot
17259,are you a bot right now,are_you_a_bot
17273,is everything ok with you,greeting
17281,"hello, how's your day",greeting
17306,sure,yes
17319,what kinds of things are you into,what_are_your_hobbies
17320,can you tell me your birthday,how_old_are_you
17355,what's your birthday,how_old_are_you
17358,negative for sure,no
17361,how are things with you,greeting
17423,are you a person or robot,are_you_a_bot
17424,i believe that's true,yes
17438,i’m leaving-goodbye!,goodbye
17440,correct,yes
17490,how many years have you been alive,how_old_are_you
17498,what name would you like me to use,what_is_your_name
17501,yes i do like that,yes
17510,you got it,yes
17512,i dunno,maybe
17528,i’ll be leaving now,goodbye
17529,i would have to say the answer to that is no,no
17532,"when you have free time, what do you do",what_are_your_hobbies
17536,that has to be false,no
17555,don't know,maybe
17567,that would be correct,yes
17581,it's a no,no
17594,what hobbies do you have,what_are_your_hobbies
17598,"see you later, alligator",goodbye
17631,approved,yes
17639,it was great to have this conversation with you,goodbye
17650,i must say no,no
17670,"no, that is incorrect",no
17673,i'm unsure of the answer,maybe
17678,i'm sure it could be either,maybe
17689,that is not right,no
17712,so are you real,are_you_a_bot
17717,could you be a real person,are_you_a_bot
17827,"yes, that's it",yes
17840,what's your name anyway,what_is_your_name
17863,ill pass,no
17888,do people call you by a certain name what is it,what_is_your_name
17915,is everything going okay,greeting
17937,how would you like me to refer to you,what_is_your_name
17951,i do not know that,maybe
17989,how long have you been alive for,how_old_are_you
